City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
Labuhan,83.34,ID,1519955961,74,-2.54,83.34,74
Yar-Sale,5.18,RU,1519955961,76,66.83,5.18,76
Puerto Ayora,79.74,EC,1519956347,98,-0.74,79.74,98
Taoudenni,58.95,ML,1519955962,47,22.68,58.95,47
San Policarpo,78.84,PH,1519955962,100,12.18,78.84,100
Imbituba,73.4,BR,1519954500,94,-28.24,73.4,94
Zachary,64.4,US,1519951980,72,30.65,64.4,72
Sioux Falls,28.4,US,1519954500,79,43.55,28.4,79
Busselton,68.49,AU,1519956049,100,-33.64,68.49,100
Mar del Plata,67.23,AR,1519955964,43,-46.43,67.23,43
